link,weight,sleeping capacity,price
https://www.rei.com/product/147954/rei-co-op-bug-out-bivy,9999,1-person,69.95
https://www.rei.com/product/147171/big-agnes-bird-beak-sl4-footprint,9999,None,59.93
https://www.rei.com/product/735789/coghlans-insideoutside-tent-mat,9999,None,12
https://www.rei.com/product/112553/msr-access-3-tent,5.0625,3-person,699.95
https://www.rei.com/product/129663/big-agnes-manzanares-hv-sl1-footprint,9999,None,36.93
https://www.rei.com/product/111158/nemo-victory-sunshade,6.125,None,199.95
https://www.rei.com/product/148062/adventure-mat-foldable-rubber-mat,9999,None,29.95
https://www.rei.com/product/108661/big-agnes-fly-creek-hv-ul-1-footprint,9999,None,60
https://www.rei.com/product/129666/big-agnes-manzanares-hv-sl4-footprint,9999,None,59.93
https://www.rei.com/product/110205/big-agnes-copper-spur-hv-ul-1-mtnglo-tent,2.5625,1-person,429.95
https://www.rei.com/product/150057/big-agnes-scout-2-platinum-footprint,9999,None,70
https://www.rei.com/product/882202/caddis-rapid-shelter-wall-10-x-10,9999,None,44.95
https://www.rei.com/product/110897/marmot-limestone-6p-footprint,9999,None,60
https://www.rei.com/product/108014/coleman-freestanding-tent-fan,9999,None,19.95
https://www.rei.com/product/132301/neso-tents-neso-grande-sunshade-print,6.5,None,134.95
https://www.rei.com/product/111819/big-agnes-seedhouse-sl-1-footprint,9999,None,29.93
https://www.rei.com/product/149629/eno-guardian-sl-hammock-bug-net,9999,None,44.95
https://www.rei.com/product/112368/kelty-gunnison-1-tent-with-footprint,4.8125,1-person,169.95
https://www.rei.com/product/110820/rei-co-op-quarter-dome-2-footprint,9999,None,49.95
https://www.rei.com/product/112369/kelty-gunnison-2-tent-with-footprint,6.0625,2-person,189.95
https://www.rei.com/product/111835/big-agnes-big-house-6-deluxe-vestibule,9999,None,139.95
https://www.rei.com/product/112551/msr-access-1-tent,3.75,1-person,499.95
https://www.rei.com/product/110293/big-agnes-copper-spur-hv-ul-1-footprint,9999,None,60
https://www.rei.com/product/150056/big-agnes-scout-2-carbon-footprint,9999,None,80
https://www.rei.com/product/729007/mombasa-outback-travel-net-double,15.0,2-person,16
https://www.rei.com/product/132048/neso-tents-neso-grande-tent-extra-poles-package-of-2,9999,None,29.95
https://www.rei.com/product/153036/sol-heat-reflective-poncho,9999,None,8
https://www.rei.com/product/108663/big-agnes-fly-creek-hv-ul-3-footprint,9999,None,80
https://www.rei.com/product/110836/rei-co-op-passage-1-footprint,9999,None,24.95
https://www.rei.com/product/147167/big-agnes-battle-mountain-2-footprint,9999,None,70
https://www.rei.com/product/110292/big-agnes-copper-spur-hv-ul-4-tent,5.625,4-person,649.95
https://www.rei.com/product/110296/big-agnes-copper-spur-hv-ul-4-footprint,9999,None,90
https://www.rei.com/product/894001/rei-co-op-camp-tarp-9,1.8125,None,59.95
https://www.rei.com/product/108015/coleman-cpx-6-lighted-tent-fan-with-stand,9999,None,34.95
https://www.rei.com/product/100134/sol-emergency-shelter-kit,9999,None,25
https://www.rei.com/product/862117/sol-2-person-emergency-bivy,9999,None,23
https://www.rei.com/product/877188/tentsile-webbing-ladder,9999,None,70
https://www.rei.com/product/147864/rei-co-op-quarter-dome-sl-1-footprint,9999,None,39.95
https://www.rei.com/product/144629/nemo-dragonfly-2-footprint,9999,None,49.95
https://www.rei.com/product/110207/big-agnes-copper-hotel-hv-ul-2-tent,3.8125,2-person,549.95
